Net Name,X,Y
HSDIFF_17_P_Q3,17.528354,-8.28
HSDIFF_7_P_Q3,12.747894,-8.28
HSDIFF_7_P_Q1,-12.747894,-8.28
HSDIFF_17_P_Q1,-17.528354,-8.28
HSDIFF_4_N_Q3,15.138124,-7.82
Q3_VDDV,10.357664,-7.82
Q3_VDD,8.764177,-7.82
Q3_VDD,7.17069,-7.82
Q3_VDD,5.577204,-7.82
Q3_VDD,3.983717,-7.82
Q3_VDD,2.39023,-7.82
Q3_VDD,0.796743,-7.82
Q1_VDD,-0.796743,-7.82
Q1_VDD,-2.39023,-7.82
Q1_VDD,-3.983717,-7.82
Q1_VDD,-5.577204,-7.82
Q1_VDD,-7.17069,-7.82
Q1_VDD,-8.764177,-7.82
Q1_VDDV,-10.357664,-7.82
HSDIFF_4_N_Q1,-15.138124,-7.82
HSDIFF_4_P_Q3,14.341381,-7.36
HSDIFF_4_P_Q1,-14.341381,-7.36
HSDIFF_16_N_Q3,16.731611,-6.9
HSDIFF_5_N_Q3,11.951151,-6.9
Q3_VDDV,10.357664,-6.9
Q3_VDD,8.764177,-6.9
Q3_VDD,7.17069,-6.9
Q3_VDD,5.577204,-6.9
Q3_VDD,3.983717,-6.9
Q3_VDD,2.39023,-6.9
Q3_VDD,0.796743,-6.9
Q1_VDD,-0.796743,-6.9
Q1_VDD,-2.39023,-6.9
Q1_VDD,-3.983717,-6.9
Q1_VDD,-5.577204,-6.9
Q1_VDD,-7.17069,-6.9
Q1_VDD,-8.764177,-6.9
Q1_VDDV,-10.357664,-6.9
HSDIFF_5_N_Q1,-11.951151,-6.9
HSDIFF_16_N_Q1,-16.731611,-6.9
HSDIFF_16_P_Q3,17.528354,-6.44
HSDIFF_5_P_Q3,12.747894,-6.44
HSDIFF_5_P_Q1,-12.747894,-6.44
HSDIFF_16_P_Q1,-17.528354,-6.44
HSDIFF_15_N_Q3,15.138124,-5.98
Q3_VDDV,10.357664,-5.98
Q3_VDD,8.764177,-5.98
Q3_VDD,7.17069,-5.98
Q3_VDD,5.577204,-5.98
Q3_VDD,3.983717,-5.98
Q3_VDD,2.39023,-5.98
Q3_VDD,0.796743,-5.98
Q1_VDD,-0.796743,-5.98
Q1_VDD,-2.39023,-5.98
Q1_VDD,-3.983717,-5.98
Q1_VDD,-5.577204,-5.98
Q1_VDD,-7.17069,-5.98
Q1_VDD,-8.764177,-5.98
Q1_VDDV,-10.357664,-5.98
HSDIFF_15_N_Q1,-15.138124,-5.98
HSDIFF_15_P_Q3,14.341381,-5.52
HSDIFF_15_P_Q1,-14.341381,-5.52
HSDIFF_14_N_Q3,16.731611,-5.06
HSDIFF_3_N_Q3,11.951151,-5.06
Q3_VDDV,10.357664,-5.06
Q3_VDD,8.764177,-5.06
Q3_VDD,7.17069,-5.06
Q3_VDD,5.577204,-5.06
Q3_VDD,3.983717,-5.06
Q3_VDD,2.39023,-5.06
Q3_VDD,0.796743,-5.06
Q1_VDD,-0.796743,-5.06
Q1_VDD,-2.39023,-5.06
Q1_VDD,-3.983717,-5.06
Q1_VDD,-5.577204,-5.06
Q1_VDD,-7.17069,-5.06
Q1_VDD,-8.764177,-5.06
Q1_VDDV,-10.357664,-5.06
HSDIFF_3_N_Q1,-11.951151,-5.06
HSDIFF_14_N_Q1,-16.731611,-5.06
HSDIFF_14_P_Q3,17.528354,-4.6
HSDIFF_3_P_Q3,12.747894,-4.6
HSDIFF_3_P_Q1,-12.747894,-4.6
HSDIFF_14_P_Q1,-17.528354,-4.6
HSDIFF_13_N_Q3,15.138124,-4.14
Q3_VDDV,10.357664,-4.14
Q3_VDD,8.764177,-4.14
Q3_VDD,7.17069,-4.14
Q3_VDD,5.577204,-4.14
Q3_VDD,3.983717,-4.14
Q3_VDD,2.39023,-4.14
Q3_VDD,0.796743,-4.14
Q1_VDD,-0.796743,-4.14
Q1_VDD,-2.39023,-4.14
Q1_VDD,-3.983717,-4.14
Q1_VDD,-5.577204,-4.14
Q1_VDD,-7.17069,-4.14
Q1_VDD,-8.764177,-4.14
Q1_VDDV,-10.357664,-4.14
HSDIFF_13_N_Q1,-15.138124,-4.14
HSDIFF_13_P_Q3,14.341381,-3.68
HSDIFF_13_P_Q1,-14.341381,-3.68
HSDIFF_12_N_Q3,16.731611,-3.22
HSDIFF_2_N_Q3,11.951151,-3.22
Q3_VDDV,10.357664,-3.22
Q3_VDD,8.764177,-3.22
Q3_VDD,7.17069,-3.22
Q3_VDD,5.577204,-3.22
Q3_VDD,3.983717,-3.22
Q3_VDD,2.39023,-3.22
Q3_VDD,0.796743,-3.22
Q1_VDD,-0.796743,-3.22
Q1_VDD,-2.39023,-3.22
Q1_VDD,-3.983717,-3.22
Q1_VDD,-5.577204,-3.22
Q1_VDD,-7.17069,-3.22
Q1_VDD,-8.764177,-3.22
Q1_VDDV,-10.357664,-3.22
HSDIFF_2_N_Q1,-11.951151,-3.22
HSDIFF_12_N_Q1,-16.731611,-3.22
HSDIFF_12_P_Q3,17.528354,-2.76
HSDIFF_2_P_Q3,12.747894,-2.76
HSDIFF_2_P_Q1,-12.747894,-2.76
HSDIFF_12_P_Q1,-17.528354,-2.76
HSDIFF_11_N_Q3,15.138124,-2.3
